DOCUMENT	INSEE	NOM_COM	LIBELLE	B1_BANDE	B1_T_BANDE	B1_ART_6	B1_ART_71	B1_ART_72	B1_ART_73	B1_ART_74	B1_ART_8	B1_ART_9	B1_ART_10	B1_ART_13	B1_ART_5	B1_ART_14
19010_reglement_20120601	19010	ARGENTAT	Us	-88		10	1	3	-88	2	-99	-99	-88	-88	-88	-99
19010_reglement_20120601	19010	ARGENTAT	Up	-88		10	1	1.90	-88	-88	-88	-88	1	-88	-88	-99
19010_reglement_20120601	19010	ARGENTAT	UX	-88		10	1	3	-88	2	5	-99	-99	-88	-88	-99
95470_Saint_Witz	95470	SAINT-WITZ	UBp	-88		-99	-88	-88	-88	-88	5	-88	-88	-88	-99	-99
95470_Saint_Witz	95470	SAINT-WITZ	UE	-88		2	1	2	-88	-88	-99	-99	12	-88	-99	-99
95470_Saint_Witz	95470	SAINT-WITZ	UH	-88		10	1	5	-88	1	6	0,3	12	-88	-99	-99
95470_Saint_Witz	95470	SAINT-WITZ	UCART	-88		-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-99
95470_Saint_Witz	95470	SAINT-WITZ	Uéco	-88		10	1	6	-88	1	6	0,6	12	-99	-99	-99
95470_Saint_Witz	95470	SAINT-WITZ	UBa	-88		3,5	1	2	-88	-88	5	0,4	-88	-88	-99	-99
95470_Saint_Witz	95470	SAINT-WITZ	UAb	-88		4	1	2.50	-88	-88	4	0,4	-88	-88	-99	-99
95470_Saint_Witz	95470	SAINT-WITZ	UBb	-88		5	1	2,5	-88	-88	5	-88	-88	-88	-99	-99
95470_Saint_Witz	95470	SAINT-WITZ	UBc	-88		4	1	2,5	-88	-88	5	-88	-88	-88	-99	-99
95470_Saint_Witz	95470	SAINT-WITZ	UBd	-88		3	-99	-99	-99	-99	5	0,6	-88	-88	-99	-99
95470_Saint_Witz	95470	SAINT-WITZ	UAa	-88		4	1	2.50	-88	-88	4	0,4	-88	-88	-99	-99
95470_Saint_Witz	95470	SAINT-WITZ	UBcim	-88		-99	-88	-88	-88	-88	-88	-88	-88	-99	-88	-88
41074_reglement_20151217	41074	DHUIZON	UB	-88		7	1	3	-88	-88	-99	-99	6	0.65	-99	-99
41074_reglement_20151217	41074	DHUIZON	UEb	-88		10	1	4	-88	-88	-88	0.30	10	0.65	-99	-99
41074_reglement_20151217	41074	DHUIZON	UEa	-88		5	1	4	-88	-88	-88	0.60	8	0.65	-99	-99
41074_reglement_20151217	41074	DHUIZON	UAb	-88		5	-99	-99	-99	-99	-99	-99	6	0.65	-99	-99
41074_reglement_20151217	41074	DHUIZON	UAa	-88		-88	-99	-99	-99	-99	-99	-99	6	0.65	-99	-99
10367_reglement_20140424	10367	LA SAULSOTTE	U	-88		0	1	3	-88	2	-99	0.60	-88	0.05	-99	-99
31482_reglement_20130624	31482	ST FRAJOU	UB2	-88		3	1	3	-88	2	-99	-99	-88	-88	-88	-99
31482_reglement_20130624	31482	ST FRAJOU	UA	-88		-88	1	3	-88	2	-99	-99	-88	-88	-88	-99
